type	latitude	longitude
T	45.8287993	-130.0781250
T	31.3536369	-128.4960938
T	14.2643831	-116.0156250
T	2.6357886	-103.7109375
T	-16.8045411	-92.8125000
T	-31.9521622	-86.8359375
T	-41.9022770	-83.3203125
T	-48.6909604	-83.3203125
T	-54.9776137	-78.2226563
T	-57.1362393	-72.0703125
T	-57.3265212	-60.4687500
T	-54.8766067	-55.1953125
T	-51.2894059	-51.8554688
T	-44.9647979	-49.9218750
T	-33.1375512	-47.6367188
T	-28.6134594	-42.1875000
T	-20.6327843	-34.8046875
T	-12.3829283	-31.8164063
T	-2.2845507	-32.5195313
T	5.4410223	-40.2539063
T	12.0393206	-51.1523438
T	20.9614396	-57.4804688
T	29.5352296	-62.0507813
T	37.9961627	-55.5468750
T	45.3367019	-47.4609375
T	53.3308730	-46.9335938
T	58.5395948	-50.2734375
T	62.1038825	-54.4921875
T	67.8755413	-57.8320313
T	71.7464317	-65.2148438
T	73.8737165	-73.1250000
T	74.1640855	-81.0351563
T	74.3548280	-91.7578125
T	74.3548280	-100.7226563
T	74.3548280	-108.8085938
T	73.6772645	-113.3789063
T	74.7758430	-117.4218750
T	74.8678891	-123.7500000
T	74.4021626	-132.5390625
T	72.7119031	-138.3398438
T	72.5544985	-150.8203125
T	70.7289795	-165.5859375
T	69.2249969	-169.1015625
T	67.4074872	-168.3984375
T	64.9235417	-169.4531250
T	63.3126828	-167.3437500
T	61.1007888	-168.3984375
T	58.2632871	-167.5195313
T	54.5720617	-172.2656250
T	50.6250731	-170.8593750
T	48.5747899	-152.5781250
T	48.9224993	-143.0859375
T	47.5172007	-134.6484375
T	45.5832898	-131.3085938
